rivmth_id,lat,lon,rivwth,uparea,dist2coast,q_mean,couple_id,gtsm_egm_offset,surge_std,tidal_range
8489,46.1570816,33.07125092,10,2245662720.0,0,0.76342255,2167,-0.077,0.06968897181197328,0.013128072
8569,46.07624817,30.47291756,107,73236332544.0,0,343.69696,2110,-0.06,0.06365494393951869,0.0921229
8575,46.21291733,33.22291565,10,2245662720.0,0,4.0506935,2162,-0.077,0.08892945053756694,0.045041703
8628,45.89291763,-64.60541534,16,1994859648.0,0,42.374226,1073,-0.14300000000000002,0.13314770939569995,9.633305
8643,45.54791641,12.48125076,26,4161780736.0,0,5.159463,1778,-0.059000000000000004,0.11107935023214298,0.81192875
8644,45.75708389,13.24125004,24,2836915456.0,0,6.3086505,1832,-0.055999999999999994,0.12302923102804066,0.8778094
8645,45.7504158,13.52291679,23,3313056768.0,0,59.25054,1846,-0.052000000000000005,0.12891620804843268,0.89179987
8648,45.50541687,29.62291718,10,5423539200.0,0,1.6528674,2094,-0.06,0.06412842372093565,0.07191516
8649,45.75291443,30.02291679,10,2549979392.0,0,3.500248,2106,-0.06,0.06032961678535295,0.083378986
8653,45.93125153,33.75875092,10,2292062720.0,0,4.55557,2178,-0.077,0.08575213453132365,0.09696815
8707,45.65791702,-123.9412537,24,2206191360.0,0,109.47646,171,0.41600000000000004,0.09983411447190083,2.5278745
8710,45.17791748,-66.95957947,14,1786945024.0,0,8.1823,1029,-0.138,0.11189019000916862,5.2360196
8717,45.36125183,-63.37708282,12,2473360896.0,0,18.130573,1091,-0.065,0.020280216914935537,1.9124275
8730,45.5320816,12.40875053,26,4161780736.0,0,3.9344668,1779,-0.086,0.11015206692752709,0.81510794
8731,45.53291702,12.72791672,26,4445264896.0,0,91.12455,1801,-0.059000000000000004,0.11199780332528635,0.823454
8732,45.58791733,12.86291695,15,2615831296.0,0,45.979065,1811,-0.059000000000000004,0.11199780332528635,0.823454
8733,45.64624786,13.09875011,24,2928954112.0,0,66.112724,1822,-0.055999999999999994,0.11861365391118114,0.8525963
8740,45.58208466,29.71708488,10,5423539200.0,0,10.511987,2097,-0.06,0.06412842372093565,0.07191516
8800,45.56624985,-123.95124820000001,24,2206191360.0,0,81.025475,174,0.42,0.10159763895076768,2.4895713
8801,45.26208496,-66.07875061,222,54940561408.0,0,1070.3837,1045,-0.146,0.10997998172570136,6.2552433
8810,45.27624893,-63.47374725,12,2473360896.0,2266,64.82243,1089,-0.065,0.020280216914935537,1.9124275
8816,45.22458267,-0.687915802,56,23817586688.0,0,3.3541186,1601,0.013999999999999999,0.13075926520580652,4.424325
8895,45.16875076,-67.20874786,25,3918365184.0,0,75.80497,1030,-0.138,0.11189019000916862,5.2360196
8896,45.11708069,-66.87875366,14,1786945024.0,0,28.613922,1038,-0.138,0.11189019000916862,5.2360196
8903,45.00374985,-62.07624817,10,1319055104.0,2270,4.517818,1097,-0.11699999999999999,0.11567752345975583,1.3349346
8904,45.08041763,-61.94708252,10,1502017152.0,2269,36.0463,1115,-0.11699999999999999,0.11567752345975583,1.3349346
8907,45.02375031,-0.533748627,56,23817586688.0,0,217.78455,1594,0.013999999999999999,0.13075926520580652,4.424325
8908,45.18458176,12.24291706,14,4826187264.0,0,73.97888,1780,-0.09,0.10851707905810841,0.80250853
